"tartaric_acid","acetic_acid","citric_acid","residual_sugar","sodium_chloride","total_sulfur_dioxide","density","potassium_sulphate","alcohol","quality"
7.7,0.32,0.62,10.6,0.036,153,0.9978,0.44,8.9,6
7.5,0.705,0.1,13,0.044,214,0.99741,0.5,9.1,5
7.1,0.3,0.36,6.8,0.055,234,0.9972,0.64,10.2,6
7.2,0.34,0.3,8.4,0.051,167,0.99756,0.62,9.7,5
7.2,0.22,0.28,7.2,0.06,132,0.9935,0.59,11.3,6
6.8,0.27,0.35,7.8,0.048,197,0.9959,0.43,9.5,6
6.9,0.43,0.28,9.4,0.056,183,0.99594,0.43,9.4,5
6.9,0.23,0.32,16.4,0.045,153,0.9972,0.42,10.5,5
5.9,0.44,0.33,1.2,0.049,117,0.99134,0.44,11.5,5
6.1,0.35,0.07,1.4,0.069,108,0.9934,0.52,9.2,5
5.4,0.29,0.38,1.2,0.029,132,0.98895,0.36,12.4,6
6.8,0.28,0.39,1.4,0.036,115,0.9918,0.72,11.7,5
8.2,0.23,0.29,1.8,0.047,187,0.9933,0.5,10.2,6
6,0.28,0.27,15.5,0.036,134,0.99408,0.44,13,7
6.8,0.45,0.3,11.8,0.094,97,0.997,0.44,9.6,5
6.7,0.48,0.49,2.9,0.03,122,0.98926,0.4,13,6
8.5,0.21,0.26,9.25,0.034,142,0.9945,0.37,11.4,6
7.8,0.17,0.23,1.7,0.029,128,0.99272,0.41,10.7,7
6.7,0.27,0.69,1.2,0.176,106,0.99288,0.43,9.2,6
6.3,0.25,0.23,14.9,0.039,142,0.99705,0.35,9.7,6
8,0.2,0.4,5.2,0.055,167,0.9953,0.4,10.6,7
5.6,0.185,0.19,7.1,0.048,110,0.99438,0.41,9.5,6
6.8,0.16,0.18,1.8,0.046,114,0.99226,0.55,10.8,6
9.2,0.19,0.42,2,0.047,104,0.99517,0.66,10,4
5.4,0.31,0.47,3,0.053,144,0.9931,0.76,10,5
6.8,0.45,0.28,26.05,0.031,122,1.00295,0.42,10.6,6
8.7,0.34,0.46,13.8,0.055,198,0.9988,0.37,9.5,6
6.4,0.475,0.06,1,0.03,131,0.9904,0.29,10.8,5
5.9,0.65,0.23,5,0.035,128,0.99016,0.48,12.8,6
6.5,0.36,0.36,6.7,0.185,151,0.99528,0.42,9.3,5
8.2,0.28,0.42,1.8,0.031,93,0.9917,0.39,11.4,5
7.4,0.44,0.2,11.5,0.049,157,0.998,0.44,9,5
6.1,0.21,0.19,1.4,0.046,131,0.99184,0.39,10.5,5
6.1,0.16,0.34,6.1,0.034,114,0.99365,0.58,10.1333333333333,7
6.4,0.26,0.21,7.1,0.04,162,0.9956,0.58,9.9,6
6.9,0.23,0.34,4,0.047,128,0.9944,0.52,9.7,6
7.5,0.29,0.24,9.9,0.058,115,0.99567,0.46,10.9,5
6,0.29,0.27,2.3,0.044,117,0.9895,0.41,12.7,7
5.9,0.26,0.29,5.4,0.046,116,0.99224,0.41,11.4,6
6,0.19,0.26,1.4,0.039,104,0.98998,0.41,12.4,6
6.2,0.25,0.25,1.4,0.03,105,0.9912,0.44,11.1,7
6,0.28,0.24,17.8,0.047,111,0.99896,0.45,8.9,6
7.4,0.25,0.36,13.2,0.067,178,0.9976,0.48,9,6
6.4,0.25,0.53,6.6,0.038,234,0.9955,0.42,8.8,5
6,0.41,0.23,1.1,0.066,148,0.99266,0.47,9.63333333333333,5
6.9,0.33,0.21,1,0.053,148,0.9927,0.45,9.4,6
6.45,0.14,0.42,1.2,0.05,129,0.99116,0.69,11.1,7
7.4,0.18,0.3,8.8,0.064,103,0.9961,0.56,9.3,5
7.5,0.21,0.34,1.2,0.06,111,0.9931,0.47,10.7,6
6.5,0.46,0.41,16.8,0.084,222,0.9993,0.58,9,5
5.7,0.15,0.28,3.7,0.045,151,0.9913,0.27,11.2,6
7.5,0.14,0.34,1.3,0.055,153,0.9945,0.8,9.6,6
7.8,0.26,0.44,1.3,0.037,132,0.9944,0.65,10,5
6.9,0.22,0.32,9.3,0.04,110,0.9958,0.54,10.7,7
6.2,0.25,0.28,8.5,0.035,108,0.99486,0.42,10.4,6
6.6,0.38,0.29,2.9,0.035,101,0.98916,0.37,12.5,6
5.5,0.375,0.38,1.7,0.036,98,0.99142,0.39,10.5,6
6.9,0.36,0.34,4.2,0.018,119,0.9898,0.36,12.7,9
7.9,0.31,0.22,13.3,0.048,212,0.99942,0.59,10,5
7.1,0.26,0.37,5.5,0.025,105,0.99082,0.33,12.6,8
6.6,0.16,0.36,1.1,0.031,93,0.98884,0.34,13.2,8
5.7,0.24,0.3,1.3,0.03,98,0.98968,0.43,12.4,7
6.4,0.3,0.45,3.5,0.197,180,0.9942,0.39,9.1,6
6.9,0.19,0.32,7.9,0.042,130,0.99456,0.39,10.5,6
7.4,0.18,0.31,1.4,0.058,167,0.9931,0.53,10,7
