"tartaric_acid","acetic_acid","citric_acid","residual_sugar","sodium_chloride","total_sulfur_dioxide","density","potassium_sulphate","alcohol","quality"
7,0.27,0.36,20.7,0.045,170,1.001,0.45,8.8,6
8.1,0.28,0.4,6.9,0.05,97,0.9951,0.44,10.1,6
7.2,0.23,0.32,8.5,0.058,186,0.9956,0.4,9.9,6
8.1,0.22,0.43,1.5,0.044,129,0.9938,0.45,11,6
8.6,0.23,0.4,4.2,0.035,109,0.9947,0.53,9.7,5
6.2,0.66,0.48,1.2,0.029,75,0.9892,0.39,12.8,8
6.4,0.31,0.38,2.9,0.038,102,0.9912,0.35,11,7
6.8,0.26,0.42,1.7,0.049,122,0.993,0.48,10.5,8
7.6,0.67,0.14,1.5,0.074,168,0.9937,0.51,9.3,5
6.6,0.27,0.41,1.3,0.052,142,0.9951,0.47,10,6
6.9,0.24,0.35,1,0.052,146,0.993,0.44,10,6
7.4,0.27,0.48,1.1,0.047,132,0.9914,0.49,11.6,6
7.2,0.32,0.36,2,0.033,114,0.9906,0.71,12.3,7
8.5,0.24,0.39,10.4,0.044,142,0.9974,0.53,10,6
7,0.33,0.32,1.2,0.053,138,0.9906,0.28,11.2,6
7.3,0.24,0.39,17.95,0.057,149,0.9999,0.36,8.6,5
6.7,0.23,0.26,1.4,0.06,154,0.9934,0.56,9.5,6
7,0.31,0.26,7.4,0.069,160,0.9954,0.46,9.8,6
6.9,0.19,0.35,5,0.067,150,0.995,0.48,9.8,5
7.2,0.19,0.31,1.6,0.062,173,0.9917,0.44,11.7,6
6.6,0.25,0.29,1.1,0.068,124,0.9914,0.58,11,7
6.9,0.25,0.35,1.3,0.039,191,0.9908,0.52,11,6
6,0.19,0.26,12.4,0.048,147,0.9972,0.36,8.9,6
7.2,0.24,0.27,1.4,0.038,122,0.9927,0.46,10.3,6
6.4,0.26,0.24,6.4,0.04,124,0.9903,0.49,12.6,7
6,0.27,0.28,4.8,0.063,201,0.9964,0.71,10,5
7,0.32,0.34,1.3,0.042,69,0.9912,0.65,12,7
7.1,0.34,0.2,6.1,0.063,164,0.9946,0.42,10,5
7.1,0.44,0.62,11.8,0.044,152,0.9975,0.46,8.7,6
7.1,0.44,0.62,11.8,0.044,152,0.9975,0.46,8.7,6
